"","spp","ncells","nrecords","span"
"1","Parnassia cirrata",21,34,854697.043432407
"2","Wolffia borealis",7,9,819542.658345287
"3","Eleocharis parvula",9,11,780542.083879713
"4","Schoenoplectus tabernaemontani",28,40,772827.228951952
"5","Elatine chilensis",21,35,715820.365118474
"6","Artemisia suksdorfii",14,25,703133.984425898
"7","Plagiobothrys salsus",8,12,663468.601162271
"8","Agrimonia gryposepala",43,63,661723.733336863
"9","Triodanis perfoliata",15,23,651679.020767579
"10","Navarretia tagetina",178,236,617644.073655161
"11","Solanum parishii",352,445,614787.716105158
"12","Chimaphila umbellata",273,368,599756.647285282
"13","Euonymus occidentalis",182,309,591111.533264421
"14","Crassula solieri",35,48,586363.8431127
"15","Ophioglossum californicum",53,108,571136.962432529
"16","Myriophyllum quitense",5,7,570600.511410027
"17","Ceanothus pinetorum",90,139,568303.573735094
"18","Hordeum arizonicum",6,6,567642.535128751
"19","Penstemon parvulus",94,129,559872.220618678
"20","Orobanche valida",21,34,554749.272283639
"21","Astragalus filipes",86,125,549376.585085374
"22","Chorizanthe polygonoides",224,298,538014.375228272
"23","Limnanthes alba",250,379,536507.415634733
"24","Downingia concolor",91,151,517549.479068384
"25","Juncus torreyi",71,110,510048.7112272
"26","Asplenium septentrionale",3,4,508936.055118671
"27","Elymus smithii",15,17,501449.170343331
"28","Caulanthus major",87,131,501391.490660579
"29","Phacelia insularis",24,51,496808.203058762
"30","Pinus balfouriana",150,328,494540.076885555
"31","Potamogeton robbinsii",8,23,492668.392651486
"32","Wolffiella oblonga",4,10,490049.60707959
"33","Fimbristylis vahlii",24,37,488427.809149521
"34","Trichocoronis wrightii",24,42,488087.039042848
"35","Ranunculus sceleratus",54,75,479135.151736033
"36","Polygonum parryi",83,101,472925.795399018
"37","Juncus articulatus",57,75,471016.920775655
"38","Lewisia leeana",62,91,468472.052697772
"39","Arnica latifolia",41,55,456917.577406588
"40","Polypodium hesperium",25,32,452791.822298819
"41","Spartina foliosa",100,164,450564.837482309
"42","Ceanothus arboreus",100,283,450432.937141965
"43","Parietaria pensylvanica",19,29,445785.431227459
"44","Potamogeton diversifolius",43,71,438749.78330351
"45","Astragalus pycnostachyus",44,89,437133.410039649
"46","Rorippa sinuata",13,19,432983.063415662
"47","Delphinium hesperium",282,393,429728.016330595
"48","Lepidium lasiocarpum",787,1006,425785.654199089
"49","Podistera nevadensis",32,80,423783.988853376
"50","Montia linearis",173,226,423438.582237561
"51","Sparganium emersum",76,104,423373.15742973
"52","Calochortus palmeri",79,115,421398.561740682
"53","Cuscuta suksdorfii",18,35,420833.393692074
"54","Polemonium micranthum",51,69,415775.461084327
