"spp","ncells","nrecords","maxent810m","maxent25km","maxent50km","clippedMaxent810m","clippedMaxent25km","clippedMaxent50km","convexHull","occurrenceBUffer"
"Abies amabilis",12,20,40703,173,62,3185,12,5,1880707746.23948,3036840289.17531
"Abies bracteata",61,148,31283,208,82,3751,15,6,2885673791.89081,5269922893.55101
"Abies concolor",548,831,157791,316,110,149870,296,100,303121707482.64,256803286495.243
"Abies grandis",76,105,42385,183,71,21092,51,19,17407022830.5377,22522620503.7318
"Abies lasiocarpa",15,31,9966,108,44,1180,6,4,320815140.18347,1564296079.69667
"Abies magnifica",286,408,93055,257,87,79244,183,61,119766279538.138,115312896830.06
"Abies procera",30,42,15847,104,41,3393,17,8,5515906308.16403,5876333408.37483
"Abronia alpina",8,20,20989,66,28,883,5,3,47225784.8055634,841359902.567797
"Abronia latifolia",136,274,13323,81,42,11583,61,32,64415623173.2932,45237420659.4714
"Abronia maritima",179,351,8048,66,33,7814,62,31,79726906113.139,54466612968.5312
"Abronia nana",67,108,88329,240,88,10954,33,15,40656757724.3297,14046664353.6323
"Abronia pogonantha",162,227,187305,322,98,102929,182,61,98333299261.9167,86697768801.5367
"Abronia turbinata",74,97,102333,234,79,31697,89,35,84656265751.2414,40761190407.6131
"Abronia umbellata",290,591,21485,116,52,20671,107,50,125162937728.418,95157091720.2544
"Abronia villosa",656,918,179796,283,87,130671,197,61,107101092243.843,132658840155.137
"Abutilon palmeri",11,19,199743,343,112,7875,32,17,21366853478.707,7845707014.30595
"Abutilon parvulum",11,19,60182,178,61,2284,10,4,1112270653.79509,2060888045.60147
"Acaena pinnatifida",83,121,19226,85,40,11542,49,23,16946505091.9772,20516501301.6192
"Acalypha californica",44,101,120711,341,122,5100,20,11,8645873159.23468,6857430027.22896
"Acamptopappus shockleyi",106,186,77316,203,69,28544,79,30,46070325672.2121,31947042483.8463
"Acamptopappus sphaerocephalus",422,632,224937,341,102,131207,201,63,98739073242.5016,111325560469.869
"Acanthomintha duttonii",13,36,30040,157,58,768,4,4,84034415.5900587,875369235.672625
"Acanthomintha ilicifolia",43,70,43011,211,91,4641,14,6,2183958661.33779,4800199059.82761
"Acanthomintha lanceolata",103,182,107454,325,117,17525,35,13,7844139381.145,12318896251.1433
"Acanthomintha obovata",57,95,166558,413,140,15877,44,17,15800880053.0116,14544259347.3832
"Acanthoscyphus parishii",168,369,67293,284,104,7112,25,11,9084361167.21761,11406788108.1712
"Acer circinatum",163,242,73834,182,61,49146,99,33,49819440619.5371,46529420449.0192
"Acer glabrum",468,727,144383,287,97,105546,218,74,167214844547.512,144514153697.417
"Acer macrophyllum",841,1258,172073,349,112,169221,334,107,271128221197.692,288811789898.739
"Acer negundo",338,550,168001,418,150,136139,293,101,218838673361.226,187097635707.926
"Achillea millefolium",1456,1980,245482,502,169,244486,484,160,324789357344.247,439818879634.366
"Achlys californica",21,21,71087,203,69,17129,38,14,13308734039.5935,12937148924.1594
"Achlys triphylla",81,96,60446,174,60,27753,54,19,18555614877.4036,22431549439.2826
"Achyrachaena mollis",498,728,165326,398,142,160481,325,110,207603738777.751,251969913962.189
"Achyronychia cooperi",328,400,131172,215,69,93969,155,49,73615108816.7824,88744475520.3266
"Acleisanthes longiflora",2,5,17569,58,24,311,3,3,2076958.15611653,639720820.276211
"Acleisanthes nevadensis",5,7,83980,204,70,831,4,1,79125371.9014425,892060180.347343
"Acmispon americanus",1094,1430,269456,473,150,269285,458,141,337790121393.925,418305756271.031
"Acmispon argophyllus",583,919,238349,481,155,132246,270,96,190160175884.24,179515506853.028
"Acmispon argyraeus",114,175,79167,264,97,7521,30,14,19576045446.8619,15645531165.7054
"Acmispon brachycarpus",714,902,337844,537,161,325939,527,157,359876498049.8,406714731048.231
"Acmispon cytisoides",53,78,11924,89,47,2524,12,7,1307312521.11852,4402745744.23349
"Acmispon dendroideus",121,286,15158,84,37,1152,12,8,729656017.398249,4556062525.92835
"Acmispon denticulatus",70,96,206646,449,146,83221,169,54,100821958125.325,73513716398.6087
"Acmispon glaber",1363,1923,172503,398,133,153825,303,98,209537393648.692,253877186638.081
"Acmispon grandiflorus",355,542,163068,399,134,122453,290,103,217265298880.659,190859935296.275
"Acmispon haydonii",40,57,229937,402,119,5051,17,6,2707088569.33747,4918788745.6855
"Acmispon heermannii",475,679,212378,425,140,84106,178,64,138442101093.605,113075291008.946
"Acmispon junceus",86,152,35813,151,65,13179,46,20,22727677635.7994,22402954051.4873
"Acmispon maritimus",577,775,201788,423,134,144622,309,101,196142288944.738,209709119292.36
"Acmispon micranthus",358,494,137634,363,124,42250,106,38,45956330689.7401,60265868780.2227
"Acmispon nevadensis",528,744,134074,322,116,118870,272,95,264518084379.191,228533208873.26
"Acmispon parviflorus",332,431,161878,342,113,154062,319,107,242292574026.414,254630125237.85
"Acmispon procumbens",189,269,85679,307,111,44876,107,37,78322697701.2816,63286963595.8273
"Acmispon prostratus",39,86,2635,41,26,1086,8,4,434013624.277616,2628086933.37713
"Acmispon rigidus",253,384,174359,323,101,51845,110,39,68695647630.4419,55067692993.0979
"Acmispon rubriflorus",6,10,87470,397,139,1556,11,6,1924842583.69891,1937777197.4079
"Acmispon strigosus",1821,2465,295974,491,146,269581,453,136,290145553878.735,345349941011.625
"Acmispon wrangelianus",616,771,194624,406,146,193001,363,124,360692198371.324,376363060298.138
"Aconitum columbianum",374,557,89194,234,79,82913,202,66,146669152443.165,136428232773.104
"Aconogonon davisiae",174,256,42560,161,60,32319,111,41,80337827769.1913,63441510150.8155
"Aconogonon newberryi",8,8,37037,181,71,1638,14,8,3678603610.36548,2904881444.96481
"Aconogonon phytolaccifolium",130,193,58472,179,64,30442,76,28,50834181444.4599,35597501590.6288
"Acourtia microcephala",357,497,90913,273,97,49070,110,41,50369421228.1305,70543680616.6964
"Actaea rubra",254,348,145261,324,112,128659,259,90,240098597875.018,209709775502.765
"Adenocaulon bicolor",252,332,126493,277,100,120009,220,74,152908439020.449,149459744061.707
"Adenophyllum cooperi",255,367,135095,236,77,55822,105,34,46569109994.3228,47856214088.2123
"Adenophyllum porophylloides",186,268,254391,400,120,66698,119,40,52683039134.5187,54253491077.3382
"Adenostoma fasciculatum",1220,1842,202589,372,125,185436,335,113,232845116440.98,264858480063.657
"Adenostoma sparsifolium",186,354,148501,318,111,25438,57,21,34865168783.8136,29583682379.4531
"Adiantum aleuticum",295,420,155623,332,116,142170,291,102,248978738038.19,218058857696.42
"Adiantum capillus-veneris",258,422,44446,231,93,38791,172,78,334946834857.652,232752688753.733
"Adiantum jordanii",623,880,162785,350,127,153427,298,100,196688470482.639,227472321359.098
"Adolphia californica",72,139,7757,64,30,2607,11,4,1257208048.89897,3391072585.28994
"Aesculus californica",467,640,175448,372,125,159825,287,94,162617349950.361,193063911773.346
"Agastache parvifolia",42,57,64367,181,71,13574,36,13,12950056295.7366,11547422531.3254
"Agastache urticifolia",250,349,157760,274,98,116513,221,81,258572423517.057,173336735746.316
"Agave deserti",99,172,160978,353,111,17538,54,22,36113177682.5661,20919152007.3146
"Agave shawii",9,16,1126,23,16,619,5,2,216128475.666528,1477682311.62259
"Agave utahensis",54,82,55525,187,69,6003,17,9,2285501994.60443,4581043199.77965
"Ageratina herbacea",19,34,48533,211,83,2211,11,6,1520006744.92719,2431531772.5742
"Ageratina occidentalis",338,474,167374,299,103,144664,238,76,160207706882.413,147017256658.665
"Ageratina shastensis",24,40,42672,112,40,3272,9,4,620913943.486916,2155236352.65702
"Agoseris apargioides",88,180,8493,68,36,6429,48,27,25273162639.4312,22801775174.3422
"Agoseris aurantiaca",111,138,73106,222,76,59706,166,59,118066028031.267,91149067850.8052
"Agoseris glauca",65,83,62897,148,56,36834,96,37,39563901049.314,40170001461.8595
"Agoseris grandiflora",544,705,251757,476,154,239293,445,140,312428430820.009,342974525314.506
"Agoseris heterophylla",748,1078,307956,529,165,303013,489,149,317200699473.696,378896883265.584
"Agoseris hirsuta",91,126,29217,139,58,15359,58,25,27764948274.892,29067084279.8201
"Agoseris monticola",194,261,81389,215,76,59872,146,49,83118634248.8496,71213000301.5995
"Agoseris parviflora",89,114,99494,203,78,66532,119,39,53654929861.4618,57368508681.5937
"Agoseris retrorsa",608,789,208495,443,154,181015,376,129,261134189629.8,290195318684.828
"Agrimonia gryposepala",43,63,98713,294,107,31874,88,33,106373161772.622,36494134820.4629
"Agrostis blasdalei",43,86,3016,35,20,1469,17,10,3629513604.46132,7417400265.83995
"Agrostis densiflora",86,172,8212,52,27,6561,42,22,33392253796.4196,27453487953.7528
